Dates,Center_mass,DSI,Center_mass_top,Center_mass_bottom,vol_pos,vol_neg,opt_vol,price
2021-08-09,236.73115088551367,46.02374562013365,249.88519512879896,209.93027178914224,10320308.620000003,-7653436.4,7532698.285695551,232.27000427246094
2021-08-10,239.71537300919684,43.07696788304161,248.06841637998008,211.61400635797855,12804468.405000001,-6432612.675000001,13921330.748501888,235.77999877929688
2021-08-11,238.89361222435613,42.65400245758522,246.84953772329584,212.88551861830106,14122747.5,-5992687.5,12994294.961848399,239.49000549316406
2021-08-12,243.3855002232406,38.1917428128079,247.05448749333576,213.27539346692046,18073404.730400007,-5016750.721099999,27495016.25562015,238.17999267578125
2021-08-13,237.99038575652636,37.47565700184204,246.40283296383427,213.3779680767499,17488660.2,-5146889.85,2505676.7430144697,234.4600067138672
2021-08-16,232.7701328908858,39.0802421146352,247.88606488300115,213.45802682100614,27687751.76,-4163749.99,-530739.5045539569,229.05999755859375
2021-08-17,226.02934241172343,44.02824014165594,249.9183784638633,205.98515671775763,6780482.7299999995,-2527010.459999999,-4122567.0647821147,222.22000122070312
2021-08-18,223.781147994689,41.25131489455854,249.43656315433788,206.5210215341973,5237231.76,-3325291.92,-4954331.478520632,219.0
2021-08-19,216.2991545523163,43.21805934726827,249.84298377296443,206.54606531326354,3859875.070500001,-4717773.1017,-8510177.86683949,212.16000366210938
2021-08-20,214.32484037874556,45.49357471224743,248.7832374100719,205.77199589348808,3861232.8,-5360545.970000001,-8414851.135694273,212.6699981689453
2021-08-23,220.37920294094266,46.43630723564255,249.79695296740624,203.96209593577728,2472808.2400000007,-6714212.400000001,-6013763.909180989,219.39999389648438
2021-08-24,220.9260400383088,37.52376465881373,249.1083579975208,202.57644592736523,2125712.55,-6293605.499999999,-3926943.5822188407,221.42999267578125
2021-08-25,219.4922054525421,47.528129773529535,247.61839002487298,204.017305375474,3484229.5340999993,-5800524.0372,-4524304.137228165,221.02999877929688
2021-08-26,214.17769239752474,41.90211291403315,246.29695982627598,199.05135409206247,4423715.3,-5130758.280000001,-6837037.761049275,216.5
2021-08-27,220.16100828072817,38.77032258581916,245.98642077327702,198.86294417353707,4107233.9699999997,-5274931.55,-4975775.256919976,221.75
2021-08-30,214.8221933239903,41.77980206451771,244.25734840494366,198.2610472491442,3316568.85,-6267730.995000001,-9290174.481697999,217.66000366210938
2021-08-31,215.07408087105333,36.949132341643164,244.71105754745403,201.74331168364682,4552650.250000001,-6068499.79,-8885537.842162348,219.5
2021-09-01,215.29139318926332,42.683975163361595,244.78037851863166,203.20578787744245,3067154.5499999993,-7910053.1099999985,-8480901.202626698,218.1199951171875
2021-09-02,215.4848669915435,34.5372702033776,244.10447180119561,202.90089254400266,3271898.0724999993,-7802761.0825,-8076264.563091044,220.8300018310547
2021-09-03,215.80008451971753,44.444195928515434,243.4375982780308,202.5755643484689,3476641.5949999993,-7695469.055,-7671627.923555395,218.1699981689453
2021-09-07,211.478754977058,45.855171185550994,242.51122953427497,202.37309475897732,3681385.1174999992,-7588177.0275,-12308496.856793435,214.24000549316406
